Id,Name,Published,Isfeatured,Shortdescription,Description,Datesalepricestarts,Datesalepriceends,TaxClass,Instock,Stock,Lowstockamount,Allowcustomerreviews,SalePrice,Regularprice,CostPrice,Margin,Categories,product_image
200365,Karachi Chai Biscuits 400g,1,0,,,,,20.01,1,,,1,1.5,4.49,2.99,,Breakfast,
200366,Nutella Spread 350G,1,0,,,,,20.01,1,5,2,1,1.5,3.15,2.33,,"Breakfast, Chocolates",
200367,Nutella Spread 200G,1,0,,,,,20.01,1,5,2,1,1.5,1.9,1.47,,"Breakfast, Chocolates",
200368,MTR Cuppa Poha 80g (BBD 07/23),0,0,,,,,20.01,0,,2,1,1.5,1.25,1.11,,"Breakfast, Clearance, Groceries > Attas & Flours > Instant Cook",
200369,MTR Uttappam Mix 500G BBD 12/22,1,0,,,,,20.01,1,1,2,1,1.5,0.99,1.19,,"Breakfast, Clearance, Groceries > Attas & Flours > Ready / Instant Mix",
200370,MTR Vada Mix 500G BBD 10/22,0,0,,,,,20.01,0,0,2,1,1.5,0.99,1.5,,"Breakfast, Clearance, Groceries > Attas & Flours > Ready / Instant Mix",
200371,MTR Khatta Meetha Poha 3m Bfast 160G,0,0,,,,,20.01,0,0,2,1,1.5,1.49,1,,"Breakfast, Groceries > Attas & Flours > Instant Cook",
200372,MTR Dal (Lentil) Oats 144G,0,0,,,,,20.01,0,0,2,1,1.5,1.49,1,,"Breakfast, Groceries > Attas & Flours > Instant Cook",
200373,MTR Poha 3 Min Breakfast 160G,0,0,,,,,20.01,0,0,2,1,1.5,1.39,1,,"Breakfast, Groceries > Attas & Flours > Instant Cook",
200374,MTR Vermicelli Upma 3 Min Breakfast 160G,0,0,,,,,20.01,0,0,2,1,1.5,1.39,1,,"Breakfast, Groceries > Attas & Flours > Instant Cook",
200375,Priya Vermicelli Plain 1Kg,1,0,,,,,20.01,1,2,2,1,1.5,3.49,1.91,,"Breakfast, Groceries > Attas & Flours > Instant Cook",
200376,Priya Vermicelli Rstd 400G,1,0,,,,,20.01,1,3,2,1,1.5,1.49,1.04,,"Breakfast, Groceries > Attas & Flours > Instant Cook",
200377,MTR Khaman Dhokla Mix 500G,0,0,,,,,20.01,0,,2,1,1.5,1.99,1.51,,"Breakfast, Groceries > Attas & Flours > Ready / Instant Mix",
200378,MTR Rice Idli Mix 500g,1,0,,,,,20.01,0,0,2,1,1.5,2.49,1.5,,"Breakfast, Groceries > Attas & Flours > Ready / Instant Mix",
200379,MTR Rava Dosa Mix 500G,1,0,,,,,20.01,1,13,2,1,1.5,2.49,1.4,,"Breakfast, Groceries > Attas & Flours > Ready / Instant Mix",
200380,MTR Dosa Mix 500G,1,0,,,,,20.01,1,5,2,1,1.5,1.99,1.19,,"Breakfast, Groceries > Attas & Flours > Ready / Instant Mix",
200381,MTR Roasted Vermicelli 900G,1,0,,,,,20.01,0,0,2,1,1.5,3.49,2,,"Breakfast, Groceries > Attas & Flours > Ready / Instant Mix",
200382,MTR Vermicelli 950G,1,0,,,,,20.01,0,0,2,1,1.5,3.49,2,,"Breakfast, Groceries > Attas & Flours > Ready / Instant Mix",
